age,period_days,star_1_mass(Donor),star_2_mass(NS)
5496205229.96574,0.061706118817759,0.02591218436419,1.64352061185046
5501176198.48069,0.061737958297545,0.025886914379611,1.64352692934661
5506143188.39406,0.061769618638286,0.025861761848079,1.64353321747949
5511056098.06373,0.061800982154587,0.025836950388526,1.64353942034438
5515966665.16991,0.061832280673384,0.025812230864205,1.64354560022546
5520915627.27518,0.061863635262766,0.025787417895207,1.64355180346771
5525962030.18793,0.061895819422716,0.025762161877881,1.64355811747204
5531091461.26872,0.061928159789708,0.02573662017382,1.64356450289806
5536264955.29696,0.061960873861782,0.025710924299628,1.6435709268666
5541459962.92008,0.06199350761164,0.025685230918179,1.64357735021197
5546664232.72651,0.062026322113315,0.025659553678434,1.6435837695219
5551878316.07858,0.062059249720409,0.025633899988726,1.64359018294433
5557026596.81441,0.062091636708451,0.02560866491657,1.64359649171237
5562111124.37855,0.062123438973516,0.025583842833884,1.64360269723304
5567247545.06386,0.062155784814828,0.025558812081915,1.64360895492103
5572462119.38236,0.062188317156011,0.025533519509466,1.64361527806414
5577717829.38136,0.062221240171944,0.02550808666331,1.64362163627568
5582996520.9363,0.062254112157776,0.025482647786244,1.64362799599495
5588224318.47443,0.062286610382747,0.025457538935044,1.64363427320775
5593374836.71658,0.062318679816023,0.025432868718867,1.64364044076179
5598484280.58328,0.062350256918666,0.025408500364147,1.64364653285047
5603637683.75196,0.062382205580149,0.025383981260959,1.64365266262627
5608944388.7197,0.062415064055837,0.025358813993653,1.6436589544431
5614353870.54189,0.062448638930529,0.025333227154004,1.64366535115301
5619723901.99835,0.062481659167557,0.025307947749321,1.64367167100418
5625064274.03822,0.062514437068971,0.025282893062799,1.64367793467581
5630433522.41852,0.062547487023297,0.025257766835119,1.64368421623273
5635730494.28657,0.062580008974352,0.025233065541985,1.64369039155602
5640935971.51087,0.062611916978724,0.025208870580726,1.64369644029633
5646112797.88569,0.062643545327228,0.025184893685288,1.64370243452019
5651239309.77485,0.062674993858125,0.025161201866203,1.64370835747496
5656417779.9982,0.062706647217635,0.025137354837357,1.64371431923217
5661727376.71637,0.062738919060216,0.025113000517276,1.64372040781219
5667111960.59454,0.06277161105081,0.02508838097459,1.64372656269786
5672507723.63262,0.062804385353754,0.025063782840363,1.64373271223142
5677912481.66031,0.06283697822601,0.025039249675459,1.64373884552265
5683428039.14665,0.062870427249014,0.025014264321774,1.64374509186107
5688988609.45504,0.062904098892594,0.024989159394558,1.64375136809287
5694437757.12583,0.062937128519175,0.024964628697368,1.64375750076717
5699796748.9829,0.062969416894684,0.024940602338648,1.64376350735685
5705122183.71411,0.063001334717922,0.024916819383791,1.64376945309556
5710474220.75882,0.063033608123801,0.024892961866118,1.64377541747498
5715900180.18367,0.063066067309595,0.024868880957437,1.64378143770215
5721338929.44506,0.063098590875242,0.024844816814133,1.64378745373798
5726801976.59302,0.063131158865498,0.024820730597019,1.64379347529226
5732360981.6309,0.063164486733758,0.024796270128777,1.64379959040932
5737908157.4161,0.063197354310297,0.024771987054556,1.64380566117787
5743366321.9715,0.063230171946244,0.024748102496155,1.64381163231747
5748808425.39743,0.063262349439852,0.024724430370096,1.64381755034899
5754353592.16416,0.063295221593189,0.024700370222944,1.64382356538578
5759924077.95131,0.063328030749414,0.024676300654942,1.64382958277778
5765430387.15163,0.063360696072683,0.024652548875062,1.64383552072275
5770967763.94557,0.063393305656402,0.024628765421446,1.64384146658615
5776535967.20164,0.063426180939771,0.024604909801599,1.64384743049111
5782064904.0052,0.063458517803449,0.024581332837173,1.64385332473222
5787602210.36839,0.063491197637453,0.02455775168118,1.64385922002122
5793192937.81911,0.063524004766657,0.024534038096944,1.64386514841727
5798775002.55977,0.063556550108784,0.024510459000914,1.64387104319128
5804364922.48971,0.063589239938304,0.024486903879317,1.64387693197168
5809956787.99183,0.063621801364432,0.024463428415904,1.64388280083753
5815504694.64187,0.06365419581428,0.024440194642957,1.64388860928077
5821014086.99327,0.063686214936691,0.024417208950605,1.64389435570386
5826532375.91462,0.063718139953235,0.024394271652571,1.64390009002837
5832120235.89962,0.063750865151261,0.0243710616474,1.64390589252966
5837697621.15311,0.063783070240973,0.024348022005454,1.64391165244015
5843295902.66284,0.063815332544838,0.024324971613372,1.64391741503817
5848999149.32335,0.0638482743839,0.024301548439429,1.64392327083165
5854719153.27511,0.063881246569245,0.024278134757774,1.64392912425207
5860499108.24206,0.063914465747176,0.024254558785011,1.64393501824526
5866325321.38831,0.063948064114828,0.024230851064749,1.64394094517532
5872038527.66455,0.063980826475887,0.024207696284433,1.6439467338704
5877747340.14463,0.064013524809633,0.024184632413379,1.64395249983817
5883474927.38569,0.064046259347759,0.024161569809554,1.64395826548912
5889114945.16081,0.064078480710115,0.024138927875484,1.64396392597264
5894729015.04212,0.064110439583223,0.024116469604665,1.64396954054034
5900394993.94415,0.064142535467992,0.024093888905412,1.64397518571516
5906134656.65012,0.064175429553024,0.024071032924024,1.6439808997105
5911837609.58931,0.064207667374896,0.024048445636819,1.64398654653231
5917545986.74399,0.064239940507076,0.024025901714917,1.64399218251278
5923357011.65648,0.064272849359135,0.024003012233112,1.64399790488323
5929153865.01752,0.064305654456076,0.023980248616548,1.64400359578737
5934872853.54382,0.064337860992119,0.023957875972056,1.6440091889485
5940623953.65618,0.064370273465902,0.023935439469208,1.64401479807421
5946440224.32473,0.064402848606778,0.023912840077792,1.64402044792206
5952332662.13391,0.064435839443116,0.023890013058907,1.64402615467678
5958303632.36806,0.064469400924159,0.023866933975365,1.64403192444767
5964298249.81274,0.064502834438213,0.023843865098484,1.64403769166689
5970314367.54004,0.064536675008622,0.023820747041555,1.64404347118112
5976281362.11582,0.064569981189968,0.023797918235885,1.64404917838254
5982191453.57112,0.064602833121661,0.023775390717679,1.64405481026209
5988131372.3064,0.064636079019068,0.023752787644758,1.64406046103032
5994008996.22995,0.064668615776564,0.023730531549175,1.64406602505422
5999838360.31544,0.064701005471523,0.02370850708865,1.64407153116935
6005756236.65211,0.064733873427422,0.023686214338702,1.64407710435684
6011712152.65337,0.064766719412646,0.023663872250248,1.64408268987895
6017715820.43872,0.064799778244259,0.023641422983526,1.64408830219563
6023805787.68397,0.06483341261686,0.023618705786441,1.6440939814949
6029895641.48013,0.064866946167482,0.023596068722159,1.64409964076097
6035944417.34668,0.064900228930439,0.02357365379888,1.64410524449179
6041942138.40859,0.064933047868541,0.023551515411181,1.64411077908872
6047926904.37446,0.064965789793941,0.023529489615415,1.64411628553766
6053948255.88483,0.064998823550431,0.023507382218142,1.64412181238698
6060004424.33466,0.065031929091131,0.023485226184945,1.64412735139528
6066035082.51305,0.06506482961143,0.023463235615871,1.64413284903754
6072043411.81308,0.06509753226385,0.023441399004967,1.64413830819027
6078103713.60846,0.065130522560602,0.023419436484932,1.64414379882028
6084221053.6127,0.065163612162248,0.023397357142453,1.6441493186559
6090433179.46047,0.065197283412374,0.023374993041091,1.64415490968124
6096728467.36879,0.065231291659956,0.023352410499441,1.64416055531665
6103066697.82964,0.065265554693516,0.023329739230518,1.64416622313388
6109362284.6658,0.065299757430685,0.023307267573644,1.6441718410481
6115497301.26219,0.065332666808211,0.023285484191205,1.64417728689371
6121612153.49208,0.065365543526598,0.023263826023327,1.64418270143568
6127905583.39176,0.06539937400162,0.023241600869985,1.64418825772402
6134306593.08547,0.065433679575301,0.023219075289999,1.64419388911901
6140712053.82357,0.065467873744399,0.023196617716137,1.64419950351248
6147171282.24656,0.06550260652999,0.023174009680972,1.64420515552127
6153611717.34581,0.065536912228088,0.023151574069774,1.64421076442407
6159968812.61486,0.065570824217481,0.02312948885547,1.64421628572764
6166257163.40051,0.065604178422893,0.023107729316801,1.64422172561231
6172612245.88476,0.065637984817954,0.023085791481455,1.64422721007115
6179126355.65738,0.065672546601661,0.023063382001367,1.64423281244117
6185572359.49052,0.065706748062885,0.023041273088665,1.64423833966935
6191915374.84462,0.065740311437803,0.023019592415415,1.64424375983766
6198210249.60293,0.065773485197459,0.022998154634251,1.64424911928295
6204525237.29856,0.065806489495171,0.022976742664392,1.64425447227541
6210883468.05167,0.065839796253669,0.022955237285011,1.64425984862026
6217162853.33372,0.065903563246279,0.022919084624663,1.64426888678535
6222789760.65806,0.065936047945385,0.022899852722358,1.64427369476092
6228158162.02882,0.065964157234414,0.022881887956564,1.64427818595237
6234029587.25618,0.065994842004282,0.02286229591795,1.64428308396202
6240207476.74717,0.066026935182695,0.022841759307308,1.64428821811468
6246551079.70511,0.066059930241266,0.022820726209928,1.64429347638903
6253016340.12741,0.066093586180776,0.022799347994872,1.64429882094279
6259427593.94851,0.066126686690604,0.022778241403348,1.64430409759067
6265761335.30325,0.06615940291294,0.022757447620835,1.6443092960363
6272215391.7488,0.06619270019899,0.022736323742336,1.64431457700593
6278824104.99238,0.06622692501113,0.022714741407428,1.64431997258965
6285460032.45454,0.066261193603303,0.022693145203089,1.64432537164074
6292055282.19786,0.066295037191016,0.022671769137894,1.64433071565704
6298720981.98981,0.066329336905353,0.022650217111269,1.64433610366369
6305459343.12815,0.066363845942341,0.02262851338041,1.64434152959641
6312184738.4124,0.066398258353262,0.022606919089898,1.64434692816904
6318943791.0975,0.066432909177224,0.022585273430179,1.64435233958397
6325697154.07499,0.066467407658807,0.022563724188835,1.6443577268943
6332404097.05699,0.066501559228089,0.022542398674515,1.64436305827288
6339169865.09342,0.066535958878015,0.022520955124615,1.64436841916036
6346000330.11334,0.066570632674004,0.022499376731538,1.64437381375863
6352762889.17563,0.066604787706,0.022478095764791,1.64437913400031
6359553447.35983,0.066639331019964,0.02245676143761,1.64438446758211
6366377315.23194,0.066673715280739,0.022435422762104,1.64438980225099
6373193358.81674,0.06670811159365,0.022414165439942,1.64439511658153
6380004557.23946,0.066742411196168,0.022392993716614,1.64440040951236
6386876927.62512,0.066776932749401,0.022371704236051,1.6444057318825
6393895982.23441,0.066812208234865,0.022350022938233,1.64441115220695
6400895928.68826,0.066847358425806,0.022328468839999,1.64441654073151
6407839612.25967,0.066882126741617,0.022307162859933,1.64442186722653
6414802368.30864,0.066916798256959,0.022285883090196,1.64442718716896
6421823044.78452,0.066951799377642,0.02226448527912,1.64443253662173
6428812489.31541,0.066986683338367,0.022243241664049,1.6444378475255
6435747089.97526,0.067021160904384,0.022222241705015,1.64444309751526
6442687260.61299,0.067055555718138,0.022201298671908,1.64444833327353
6449614198.09358,0.067089982934223,0.022180445720236,1.64445354651145
