age,period_days,star_1_mass(Donor),star_2_mass(NS)
12167806380.9446,119.471588008808,0.320638796661268,1.40720967223383
12167808724.833,119.471588008806,0.320638796661268,1.40720967223383
12167811062.8794,119.471588008803,0.320638796661268,1.40720967223383
12167813398.739,119.471588008801,0.320638796661268,1.40720967223383
12167815743.4394,119.471588008798,0.320638796661268,1.40720967223383
12167818095.1583,119.471588008796,0.320638796661268,1.40720967223383
12167820448.4537,119.471588008793,0.320638796661268,1.40720967223383
12167822806.9471,119.471588008791,0.320638796661268,1.40720967223383
12167825174.8066,119.471588008789,0.320638796661268,1.40720967223383
12167827547.5908,119.471588008786,0.320638796661268,1.40720967223383
12167829925.1473,119.471588008784,0.320638796661268,1.40720967223383
12167832302.8686,119.471588008781,0.320638796661268,1.40720967223383
12167834682.2037,119.471588008779,0.320638796661268,1.40720967223383
12167837070.3363,119.471588008776,0.320638796661268,1.40720967223383
12167839467.3246,119.471588008774,0.320638796661268,1.40720967223383
12167841870.9031,119.471588008771,0.320638796661268,1.40720967223383
12167844278.4306,119.471588008769,0.320638796661268,1.40720967223383
12167846696.4126,119.471588008766,0.320638796661268,1.40720967223383
12167849122.7897,119.471588008764,0.320638796661268,1.40720967223383
12167851546.4021,119.471588008761,0.320638796661268,1.40720967223383
12167853970.6445,119.471588008759,0.320638796661268,1.40720967223383
12167856400.9863,119.471588008756,0.320638796661268,1.40720967223383
12167858836.329,119.471588008754,0.320638796661268,1.40720967223383
12167861275.5844,119.471588008751,0.320638796661268,1.40720967223383
12167863721.9497,119.471588008749,0.320638796661268,1.40720967223383
12167866173.8718,119.471588008746,0.320638796661268,1.40720967223383
12167868627.9281,119.471588008744,0.320638796661268,1.40720967223383
12167871081.5631,119.471588008741,0.320638796661268,1.40720967223383
12167873538.3614,119.471588008739,0.320638796661268,1.40720967223383
12167876003.4566,119.471588008736,0.320638796661268,1.40720967223383
12167878475.2582,119.471588008734,0.320638796661268,1.40720967223383
12167880960.1784,119.471588008731,0.320638796661268,1.40720967223383
12167883456.0111,119.471588008728,0.320638796661268,1.40720967223383
12167885949.389,119.471588008726,0.320638796661268,1.40720967223383
12167888443.2683,119.471588008723,0.320638796661268,1.40720967223383
12167890944.7676,119.471588008721,0.320638796661268,1.40720967223383
12167893452.1178,119.471588008718,0.320638796661268,1.40720967223383
12167895966.2428,119.471588008716,0.320638796661268,1.40720967223383
12167898478.6598,119.471588008713,0.320638796661268,1.40720967223383
12167900991.0743,119.47158800871,0.320638796661268,1.40720967223383
12167903514.6982,119.471588008708,0.320638796661268,1.40720967223383
12167906047.7182,119.471588008705,0.320638796661268,1.40720967223383
12167908587.2369,119.471588008702,0.320638796661268,1.40720967223383
12167911138.49,119.4715880087,0.320638796661268,1.40720967223383
12167913695.1174,119.471588008697,0.320638796661268,1.40720967223383
12167916248.9777,119.471588008694,0.320638796661268,1.40720967223383
12167918806.5259,119.471588008692,0.320638796661268,1.40720967223383
12167921368.7151,119.471588008689,0.320638796661268,1.40720967223383
12167923933.8043,119.471588008687,0.320638796661268,1.40720967223383
12167926502.4778,119.471588008684,0.320638796661268,1.40720967223383
12167929076.9611,119.471588008681,0.320638796661268,1.40720967223383
12167931648.7628,119.471588008679,0.320638796661268,1.40720967223383
12167934221.8804,119.471588008676,0.320638796661268,1.40720967223383
12167936813.9962,119.471588008673,0.320638796661268,1.40720967223383
12167939420.3541,119.471588008671,0.320638796661268,1.40720967223383
12167942032.2756,119.471588008668,0.320638796661268,1.40720967223383
12167944645.0739,119.471588008665,0.320638796661268,1.40720967223383
12167947259.639,119.471588008662,0.320638796661268,1.40720967223383
12167949884.2142,119.47158800866,0.320638796661268,1.40720967223383
12167952517.3023,119.471588008657,0.320638796661268,1.40720967223383
12167955154.61,119.471588008654,0.320638796661268,1.40720967223383
12167957798.3308,119.471588008651,0.320638796661268,1.40720967223383
12167960449.5805,119.471588008649,0.320638796661268,1.40720967223383
12167963098.0351,119.471588008646,0.320638796661268,1.40720967223383
12167965748.3821,119.471588008643,0.320638796661268,1.40720967223383
12167968411.1291,119.471588008641,0.320638796661268,1.40720967223383
12167971084.5724,119.471588008638,0.320638796661268,1.40720967223383
12167973763.5374,119.471588008635,0.320638796661268,1.40720967223383
12167976448.0484,119.471588008632,0.320638796661268,1.40720967223383
12167979142.6216,119.471588008629,0.320638796661268,1.40720967223383
12167981844.8602,119.471588008627,0.320638796661268,1.40720967223383
12167984554.4065,119.471588008624,0.320638796661268,1.40720967223383
12167987268.8104,119.471588008621,0.320638796661268,1.40720967223383
12167989987.6717,119.471588008618,0.320638796661268,1.40720967223383
12167992717.2345,119.471588008615,0.320638796661268,1.40720967223383
12167995452.8401,119.471588008613,0.320638796661268,1.40720967223383
12167998192.6854,119.47158800861,0.320638796661268,1.40720967223383
12168000940.3901,119.471588008607,0.320638796661268,1.40720967223383
12168003694.6799,119.471588008604,0.320638796661268,1.40720967223383
12168006456.2256,119.471588008601,0.320638796661268,1.40720967223383
12168009224.5947,119.471588008598,0.320638796661268,1.40720967223383
12168012002.7932,119.471588008595,0.320638796661268,1.40720967223383
12168014790.064,119.471588008593,0.320638796661268,1.40720967223383
12168017579.5616,119.47158800859,0.320638796661268,1.40720967223383
12168020375.259,119.471588008587,0.320638796661268,1.40720967223383
12168023183.7254,119.471588008584,0.320638796661268,1.40720967223383
12168026002.6466,119.471588008581,0.320638796661268,1.40720967223383
12168028822.454,119.471588008578,0.320638796661268,1.40720967223383
12168031646.6182,119.471588008575,0.320638796661268,1.40720967223383
12168034484.2257,119.471588008572,0.320638796661268,1.40720967223383
12168037332.0415,119.471588008569,0.320638796661268,1.40720967223383
12168040188.356,119.471588008566,0.320638796661268,1.40720967223383
12168043050.5567,119.471588008563,0.320638796661268,1.40720967223383
