age,period_days,star_1_mass,star_2_mass
12313439774.0004,6.880984248891,0.262623476740444,1.49486964073601
12313879335.166,6.89094273003379,0.26247189185704,1.49490753695686
12314318964.979,6.90092563719484,0.26232028330025,1.49494543909606
12314759187.2092,6.91094502712985,0.262168470445403,1.49498339230977
12315198382.7688,6.9209640354233,0.262017011643087,1.49502125701035
12315635832.2446,6.93083787940246,0.261867950899158,1.49505852219633
12316073350.8459,6.94086894759272,0.261717003046986,1.49509625915938
12316509743.1952,6.95076864063169,0.261568236134326,1.49513345088754
12316943146.0257,6.96062269088849,0.261420488353858,1.49517038783266
12317374792.7753,6.97045884970478,0.261273339224438,1.49520717511501
12317806722.6208,6.98032344766596,0.261126093587091,1.49524398652435
12318239883.8681,6.99023839248701,0.260978428162743,1.49528090288044
12318672863.6528,7.00017151800187,0.260830824599333,1.49531780377129
12319103927.1174,7.00995593191165,0.26068562372094,1.49535410399089
12319533805.5856,7.01986664875889,0.260539011979252,1.49539075692631
12319962867.7579,7.02965366209773,0.260394420702051,1.49542690474561
12320390851.2953,7.03943759015518,0.260250192918103,1.4954629616916
12320818299.8932,7.04923084366021,0.260106145405419,1.49549897356977
12321245436.2832,7.05903849466495,0.259962203104891,1.4955349591449
12321671741.6678,7.06884862664612,0.25981854084797,1.49557087470913
12322095507.7738,7.07901568277361,0.259670379067015,1.49560791515437
12322515359.4202,7.08885380993789,0.259527080977948,1.49564373967663
12322932354.9857,7.09852121857332,0.259386452012699,1.49567889691795
12323347022.0593,7.10815536174215,0.259246608315782,1.49571385784218
12323758966.7927,7.11774672603383,0.259107682709856,1.49574858924366
12324169443.2368,7.12720171109832,0.258970900256068,1.4957827848571
12324579475.4406,7.13666634225297,0.258834265835801,1.49581694346217
12324989124.8219,7.14614193212432,0.258697758982902,1.4958510701754
12325399560.2577,7.15553393506416,0.258562618394127,1.49588485532259
12325810244.6667,7.16507775589658,0.258425705545983,1.49591908353463
12326220298.2674,7.17438269178429,0.258292257817595,1.49595244546672
12326630181.0747,7.18382828481143,0.258157198270385,1.49598621035353
12327040929.3713,7.19319208820241,0.258023464784552,1.49601964372498
12327451518.7875,7.20269766800666,0.257888112005878,1.49605348191965
12327860443.6038,7.21218441444581,0.257753307970563,1.49608718292848
12328268470.1418,7.22167003636087,0.257618800057014,1.49612080990687
12328675269.2012,7.23102548815955,0.257486293255177,1.49615393660733
12329080373.526,7.24036101258392,0.257354338479836,1.49618692530116
12329485186.1765,7.24970885976509,0.257222478711692,1.4962198902432
12329889388.2338,7.25906160670229,0.257090817832291,1.49625280546305
12330290598.8212,7.26824496675291,0.25696168715669,1.49628508813195
12330689411.7536,7.27739165795484,0.256833328172626,1.49631717787797
12331087165.7092,7.28653225226577,0.256705310023023,1.49634918241537
12331484567.5617,7.29556576013251,0.256578927875201,1.49638077795232
12331881584.2818,7.30472966064294,0.256451089961723,1.49641273743069
12332277703.5781,7.31389097293392,0.256323541015396,1.49644462466727
12332672589.5565,7.32316466412288,0.256194799795045,1.49647680997236
12333066027.8104,7.33230455454688,0.256068057578338,1.49650849552654
12333457650.1202,7.3413035569309,0.255943402221734,1.49653965936569
12333847859.1697,7.35028751694086,0.255819196712982,1.49657071074288
12334237483.8902,7.35927531524071,0.255695177199083,1.49660171562135
12334626531.2944,7.36815206603598,0.255572815683043,1.49663230600036
12335015214.2101,7.37703737119386,0.255450568804355,1.49666286772003
12335402983.7743,7.38615728146512,0.255325560198635,1.49669411987146
12335788821.7641,7.3951332564863,0.255202655075792,1.49672484615217
12336171680.1253,7.40405689309765,0.255080699086083,1.4967553351496
12336552657.2818,7.41295358410946,0.2549593423367,1.49678567433695
12336932518.1067,7.42161386087207,0.254841222164274,1.49681520438005
12337311686.451,7.43039067171279,0.254721843512602,1.49684504904297
12337691192.9777,7.43907917423417,0.25460378082843,1.49687456471401
12338071146.6097,7.44779395362458,0.254485579051933,1.49690411515814
12338450104.1749,7.45661885021018,0.254366213498275,1.49693395654655
12338827197.2451,7.4654166959812,0.254247435230634,1.49696365111346
12339202722.4094,7.47396997835595,0.254131967123501,1.49699251814025
12339576629.1464,7.48250173008441,0.254016996657402,1.49702126075677
12339949068.9283,7.49112969565506,0.253901045764522,1.49705024847999
12340320558.6794,7.49964106017425,0.253786767489418,1.49707881804877
12340691070.0038,7.50814517488908,0.253672790199522,1.49710731237124
12341060633.4545,7.51664269242173,0.253559104496061,1.49713573379711
12341430396.3335,7.52527429188987,0.253443935605989,1.49716452601962
12341799911.8108,7.53391568582165,0.253328843773342,1.49719329897779
12342168921.4015,7.54245042309976,0.2532152777727,1.49722169047795
12342537192.9174,7.55098329591846,0.253101938921168,1.49725002519083
12342904455.1181,7.55939901551413,0.25299025626951,1.49727794585374
12343271104.0803,7.5678154215381,0.252878760100732,1.49730581989594
12343637883.2267,7.57624957809062,0.252767224343557,1.49733370383523
12344004547.8448,7.58469594021193,0.252655723413882,1.49736157906765
12344369353.3835,7.59311413115739,0.252544787821241,1.49738931296581
12344732848.6541,7.60140934344811,0.252435566593171,1.49741661827283
12345095759.0026,7.6097054642475,0.252326521119523,1.49744387964124
12345458248.1766,7.61800622223033,0.252217602198275,1.49747110937155
12345820615.2494,7.62631846468826,0.252108719965404,1.49749832992977
12346182157.424,7.63462597144726,0.252000085593761,1.49752548852268
12346542521.8692,7.64292060022997,0.251891805100349,1.49755255864603
12346901830.6029,7.65120506734996,0.251783841821779,1.49757954946568
12347259833.5379,7.65936788927983,0.25167755150922,1.49760612204382
12347615785.7007,7.66749757358957,0.251571870066556,1.49763254240448
12347970440.9858,7.6755074406921,0.251467827192764,1.49765855312293
12348323929.3602,7.68350407117006,0.251364126647834,1.49768447825916
12348675728.67,7.69158256949352,0.251259631549664,1.49771060203371
12349027031.8287,7.69955976782106,0.251156526058287,1.49773637840655
12349377671.3203,7.70753489368632,0.251053615349452,1.49776210608376
12349727138.2556,7.71529274580426,0.250953490840487,1.497787137211
12350076047.038,7.72315484585198,0.250852276688424,1.49781244074902
12350424828.4116,7.73113237763325,0.250749834781199,1.49783805122582
12350773202.6681,7.73911354848164,0.250647512449903,1.49786363180865
12351120244.355,7.74687356840645,0.250548008439764,1.49788850781118
